"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_dt_h2d","mean_dt_d2h","mean_cuda","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_dt_h2d","sd_dt_d2h","sd_cuda","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_dt_h2d","se_dt_d2h","se_cuda","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"636","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,10,"TINY_DATASET",128,128,128,2,0,11866081,11866081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11866081,0,0,2,0,0,0
"637","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,10,"TOY_DATASET",32,32,32,2,0,11022933,11022933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11022933,0,0,2,0,0,0
"638","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,12,"EXTRALARGE_DATASET",4096,4096,4096,2,0,185591443706,185591443706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185591443706,0,0,2,0,0,0
"639","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,12,"HUGE_DATASET",8192,8192,8192,2,0,1533444371305,1533444371305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533444371305,0,0,2,0,0,0
"640","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,12,"LARGE_DATASET",2048,2048,2048,2,0,18023620868,18023620868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18023620868,0,0,2,0,0,0
"641","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,12,"MEDIUM_DATASET",512,512,512,2,0,148276873,148276873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148276873,0,0,2,0,0,0
"642","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,12,"MINI_DATASET",64,64,64,2,0,11542427,11542427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11542427,0,0,2,0,0,0
"643","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,12,"SMALL_DATASET",256,256,256,2,0,16182003,16182003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16182003,0,0,2,0,0,0
"644","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,12,"STANDARD_DATASET",1024,1024,1024,2,0,888590840,888590840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888590840,0,0,2,0,0,0
"645","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,12,"TINY_DATASET",128,128,128,2,0,13121380,13121380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13121380,0,0,2,0,0,0
"646","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,12,"TOY_DATASET",32,32,32,2,0,13137443,13137443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13137443,0,0,2,0,0,0
