"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_cuda","mean_dt_h2d","mean_dt_d2h","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_cuda","sd_dt_h2d","sd_dt_d2h","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_cuda","se_dt_h2d","se_dt_d2h","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"99","chunk_size_evaluation","OMP+OFF","DYNAMIC",64,12,"LARGE_DATASET",2048,2048,2048,10,87884480637.3,13788417743.3,13788417743.3,0,0,0,0,0,0,5662085821.46916,3327016439.85537,3327016439.85537,0,0,0,0,0,0,1790508750.31881,1052094976.27676,1052094976.27676,0,0,0,0,0,0,13788417743.3,1052094976.27676,3327016439.85537,10,0,0,0
"100","chunk_size_evaluation","OMP+OFF","DYNAMIC",64,14,"LARGE_DATASET",2048,2048,2048,10,83357863460,12164342955.8,12164342955.8,0,0,0,0,0,0,9193432809.15745,6309017024.61989,6309017024.61989,0,0,0,0,0,0,2907218719.26576,1995086359.45774,1995086359.45774,0,0,0,0,0,0,12164342955.8,1995086359.45774,6309017024.61989,10,0,0,0
"101","chunk_size_evaluation","OMP+OFF","DYNAMIC",64,16,"LARGE_DATASET",2048,2048,2048,10,88603347126.7,14101315261.5,14101315261.5,0,0,0,0,0,0,5782064366.63026,3603487386.41776,3603487386.41776,0,0,0,0,0,0,1828449297.62505,1139522766.07674,1139522766.07674,0,0,0,0,0,0,14101315261.5,1139522766.07674,3603487386.41776,10,0,0,0
"102","chunk_size_evaluation","OMP+OFF","DYNAMIC",64,18,"LARGE_DATASET",2048,2048,2048,10,85254030091.1,11913261444.7,11913261444.7,0,0,0,0,0,0,9419325581.16759,5886166448.26622,5886166448.26622,0,0,0,0,0,0,2978652285.91788,1861369266.33849,1861369266.33849,0,0,0,0,0,0,11913261444.7,1861369266.33849,5886166448.26622,10,0,0,0
"103","chunk_size_evaluation","OMP+OFF","DYNAMIC",64,20,"LARGE_DATASET",2048,2048,2048,10,87196952757,13727033305.8,13727033305.8,0,0,0,0,0,0,5211232186.64542,3548708879.4823,3548708879.4823,0,0,0,0,0,0,1647936312.57792,1122200281.2028,1122200281.2028,0,0,0,0,0,0,13727033305.8,1122200281.2028,3548708879.4823,10,0,0,0
"104","chunk_size_evaluation","OMP+OFF","DYNAMIC",64,22,"LARGE_DATASET",2048,2048,2048,10,87018923121.8,12125500029,12125500029,0,0,0,0,0,0,9587485769.23188,5479175846.109,5479175846.109,0,0,0,0,0,0,3031829206.52242,1732667537.42847,1732667537.42847,0,0,0,0,0,0,12125500029,1732667537.42847,5479175846.109,10,0,0,0
"105","chunk_size_evaluation","OMP+OFF","DYNAMIC",64,24,"LARGE_DATASET",2048,2048,2048,10,84047814851.4,10236884988.5,10236884988.5,0,0,0,0,0,0,9456692962.26573,3652107186.60025,3652107186.60025,0,0,0,0,0,0,2990468889.36444,1154897696.87264,1154897696.87264,0,0,0,0,0,0,10236884988.5,1154897696.87264,3652107186.60025,10,0,0,0
"106","chunk_size_evaluation","OMP+OFF","DYNAMIC",128,1,"LARGE_DATASET",2048,2048,2048,10,83995046719,37124635136,37514920355.3,323730842.4,0,0,323730842.4,44036919.5,22517457.4,8973470601.12691,4085560707.50563,4097654741.52994,365117.016369882,0,0,365117.016369882,29121003.1434896,12141342.7135179,2837660561.61213,1291967735.46068,1295792204.82231,115460.138421381,0,0,115460.138421381,9208869.76823502,3839429.68274058,37514920355.3,1295792204.82231,4097654741.52994,0,10,10,10
"107","chunk_size_evaluation","OMP+OFF","DYNAMIC",128,2,"LARGE_DATASET",2048,2048,2048,10,85040754775.4,53553959458.5,53938364538,323716487.9,0,0,323716487.9,38500295.3,22188296.3,8347390891.32946,21744064811.2216,21746193157.3224,218812.742323354,0,0,218812.742323354,16753397.1128405,12459807.8834587,2639676773.63442,6876077039.37796,6876750081.5107,69194.6646809323,0,0,69194.6646809323,5297889.3421865,3940137.21198512,53938364538,6876750081.5107,21746193157.3224,0,10,10,10
"108","chunk_size_evaluation","OMP+OFF","DYNAMIC",128,4,"LARGE_DATASET",2048,2048,2048,10,87690683604.7,36723871845.1,36723871845.1,0,0,0,0,0,0,7740194243.01938,12708397510.1051,12708397510.1051,0,0,0,0,0,0,2447664334.00641,4018748154.27449,4018748154.27449,0,0,0,0,0,0,36723871845.1,4018748154.27449,12708397510.1051,10,0,0,0
